epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,623.007,0.40667,0.70377,0.52493,0.94776,0.65323,0.71672,0.67234,0.61717,0.65323,0.71672,0.66525,0.54376,0.50123,1.20219,0.86045,1.08186,0.00103288,0.00103288,0.00103288
86,630.268,0.42949,0.71179,0.55223,0.97908,0.64219,0.73346,0.66278,0.58979,0.64219,0.73346,0.64972,0.50895,0.56747,1.48665,0.90101,1.13502,0.00102817,0.00102817,0.00102817
87,637.523,0.43352,0.69862,0.53199,0.94631,0.62446,0.64338,0.68943,0.6271,0.62446,0.64338,0.67896,0.54484,0.52956,1.05104,1.01694,1.08261,0.00102345,0.00102345,0.00102345
88,644.802,0.43777,0.83527,0.59812,0.97467,0.63969,0.69479,0.68059,0.62227,0.63969,0.69479,0.6714,0.52807,0.54458,1.10739,0.94428,1.10516,0.00101873,0.00101873,0.00101873
89,652.103,0.44716,0.72581,0.55374,0.97104,0.61249,0.76287,0.64764,0.58544,0.58595,0.73346,0.6113,0.50828,0.48354,0.97961,0.82465,1.08381,0.00101402,0.00101402,0.00101402
90,659.309,0.40626,0.68404,0.53048,0.9518,0.66296,0.72458,0.67132,0.61924,0.66296,0.72458,0.65882,0.53003,0.48155,0.97637,0.89444,1.05733,0.0010093,0.0010093,0.0010093
91,666.524,0.40014,0.70351,0.56035,0.94892,0.59459,0.73346,0.64527,0.59161,0.59459,0.73346,0.63253,0.50681,0.57455,1.38701,0.90915,1.12944,0.00100459,0.00100459,0.00100459
92,673.793,0.40898,0.72044,0.52656,0.9427,0.60761,0.76287,0.64626,0.58341,0.62028,0.76287,0.6321,0.51122,0.5802,1.28807,0.98505,1.17533,0.000999871,0.000999871,0.000999871
93,681.037,0.39942,0.64001,0.50972,0.94415,0.61742,0.81196,0.67923,0.61323,0.66902,0.68658,0.66385,0.55196,0.52586,1.12659,0.92861,1.08741,0.000995156,0.000995156,0.000995156
94,688.301,0.3986,0.64323,0.48604,0.92513,0.61596,0.64191,0.63847,0.57051,0.61596,0.64191,0.6202,0.5047,0.55735,1.27486,0.89731,1.13994,0.00099044,0.00099044,0.00099044
95,695.577,0.4016,0.70007,0.5196,0.94574,0.64263,0.7174,0.66938,0.60507,0.64263,0.7174,0.64397,0.52585,0.55288,1.1463,0.8056,1.1481,0.000985724,0.000985724,0.000985724
96,702.831,0.39362,0.61516,0.4984,0.94625,0.64341,0.68842,0.64375,0.57699,0.62109,0.65901,0.58993,0.50466,0.47869,1.05344,0.93362,1.07004,0.000981008,0.000981008,0.000981008
97,710.1,0.41207,0.6463,0.50749,0.95385,0.59561,0.77665,0.64577,0.59346,0.58087,0.74724,0.61827,0.52869,0.46238,1.10531,0.83064,1.05275,0.000976293,0.000976293,0.000976293
98,717.333,0.40958,0.69466,0.50453,0.95814,0.58796,0.72509,0.6269,0.56432,0.58796,0.72509,0.62013,0.51113,0.48451,0.97981,0.94478,1.05579,0.000971577,0.000971577,0.000971577
99,724.587,0.39448,0.65661,0.4903,0.94499,0.6116,0.70404,0.60924,0.55828,0.6116,0.70404,0.5948,0.49386,0.58277,1.22641,0.88002,1.16815,0.000966861,0.000966861,0.000966861
100,731.835,0.40217,0.61972,0.49628,0.9434,0.80639,0.76052,0.77762,0.71764,0.80639,0.76052,0.75487,0.61539,0.48614,1.04736,0.76246,1.03869,0.000962146,0.000962146,0.000962146
101,739.183,0.37764,0.64488,0.48406,0.93305,0.63742,0.80607,0.73101,0.64115,0.61717,0.77665,0.65614,0.53167,0.49807,1.12607,0.78601,1.05526,0.00095743,0.00095743,0.00095743
102,746.467,0.40559,0.63982,0.51256,0.95091,0.69913,0.73346,0.72783,0.62024,0.60786,0.73346,0.6382,0.51022,0.60358,1.43991,0.79942,1.20319,0.000952714,0.000952714,0.000952714
103,753.769,0.39805,0.63217,0.49708,0.95915,0.69826,0.80607,0.7255,0.64888,0.71201,0.82169,0.71874,0.55081,0.59335,1.52503,0.77221,1.20776,0.000947999,0.000947999,0.000947999
104,761.002,0.39476,0.6659,0.46595,0.93798,0.6615,0.65259,0.66209,0.59095,0.6615,0.65259,0.65175,0.51375,0.55151,1.35272,0.83835,1.13633,0.000943283,0.000943283,0.000943283
105,768.27,0.38629,0.63374,0.47423,0.92143,0.71819,0.67494,0.70011,0.62572,0.71819,0.67494,0.69053,0.53352,0.54913,1.24864,0.72691,1.10858,0.000938567,0.000938567,0.000938567
106,775.528,0.40307,0.67316,0.48852,0.94794,0.64347,0.58099,0.61432,0.54166,0.64347,0.58099,0.59104,0.48047,0.59873,1.45501,1.00926,1.20912,0.000933851,0.000933851,0.000933851
107,782.792,0.40477,0.65239,0.48769,0.95485,0.63696,0.71599,0.63538,0.5687,0.63696,0.71599,0.62679,0.51404,0.50522,1.10598,1.15585,1.12847,0.000929136,0.000929136,0.000929136
108,790.055,0.36972,0.59677,0.4576,0.93502,0.64987,0.6257,0.63429,0.5752,0.64987,0.6257,0.63429,0.52289,0.54545,0.98269,1.1115,1.13451,0.00092442,0.00092442,0.00092442
109,797.331,0.38856,0.61693,0.49099,0.9347,0.56891,0.65117,0.62395,0.56638,0.56891,0.65117,0.6185,0.5128,0.60255,1.15003,1.07077,1.19148,0.000919704,0.000919704,0.000919704
110,804.588,0.37261,0.59512,0.43145,0.92734,0.71374,0.77692,0.68698,0.61898,0.71374,0.77692,0.68463,0.5557,0.52937,1.06553,0.79359,1.09925,0.000914989,0.000914989,0.000914989
111,811.856,0.38213,0.60045,0.4477,0.92713,0.63103,0.70404,0.63643,0.58461,0.63103,0.70404,0.63287,0.51369,0.57974,1.18868,1.01109,1.2084,0.000910273,0.000910273,0.000910273
112,819.063,0.3845,0.65638,0.45655,0.93259,0.62694,0.76757,0.61372,0.55913,0.62694,0.76757,0.6083,0.47494,0.60022,1.34105,0.92441,1.24704,0.000905557,0.000905557,0.000905557
113,826.353,0.37126,0.61469,0.45141,0.93415,0.60947,0.62431,0.63442,0.56133,0.60947,0.62431,0.60945,0.47682,0.63017,1.41638,1.01983,1.23647,0.000900842,0.000900842,0.000900842
114,833.566,0.38198,0.62738,0.48569,0.92168,0.58117,0.68842,0.63849,0.55452,0.58117,0.68842,0.62688,0.48337,0.69649,1.57591,1.04332,1.39319,0.000896126,0.000896126,0.000896126
115,840.842,0.37649,0.62458,0.4623,0.9183,0.63201,0.63171,0.61369,0.55314,0.63201,0.63171,0.61341,0.49332,0.67635,1.80435,1.17746,1.43663,0.00089141,0.00089141,0.00089141
116,848.103,0.37314,0.63198,0.46983,0.92747,0.59119,0.68015,0.61475,0.56326,0.59119,0.68015,0.61012,0.49978,0.6055,1.7758,1.13041,1.35638,0.000886694,0.000886694,0.000886694
117,855.329,0.37348,0.56946,0.4553,0.92978,0.59106,0.71703,0.66451,0.60787,0.59106,0.71703,0.65992,0.56487,0.67718,1.60763,1.00692,1.44247,0.000881979,0.000881979,0.000881979
118,862.621,0.37331,0.57568,0.46311,0.943,0.57739,0.69959,0.61677,0.56703,0.57739,0.69959,0.61389,0.51122,0.67359,1.66949,1.03614,1.45809,0.000877263,0.000877263,0.000877263
119,869.889,0.37924,0.61134,0.47771,0.92673,0.52169,0.59104,0.57233,0.51855,0.54604,0.58921,0.55443,0.46822,0.64004,1.63745,1.25615,1.37997,0.000872547,0.000872547,0.000872547
120,877.112,0.36071,0.57881,0.41818,0.91507,0.59481,0.71599,0.64012,0.58908,0.59481,0.71599,0.62352,0.52112,0.51149,1.15611,0.94762,1.12655,0.000867832,0.000867832,0.000867832
121,884.368,0.34872,0.6057,0.42623,0.92457,0.63241,0.59552,0.57717,0.52021,0.63241,0.59552,0.5679,0.47893,0.55068,1.03291,1.14424,1.09307,0.000863116,0.000863116,0.000863116
122,891.568,0.38153,0.63838,0.47571,0.94383,0.66139,0.56756,0.6154,0.56048,0.66139,0.56756,0.59053,0.49655,0.48744,1.12517,0.97729,1.05182,0.0008584,0.0008584,0.0008584
123,898.865,0.39152,0.62156,0.45033,0.9506,0.71932,0.5916,0.69608,0.64453,0.71932,0.5916,0.69435,0.57098,0.47964,1.07692,0.81591,1.07064,0.000853685,0.000853685,0.000853685
124,906.153,0.34587,0.552,0.40615,0.91152,0.63382,0.65717,0.64857,0.58698,0.63382,0.65717,0.64857,0.52679,0.59738,1.34594,1.00637,1.22676,0.000848969,0.000848969,0.000848969
125,913.374,0.35568,0.59347,0.41625,0.91506,0.67373,0.67279,0.67438,0.61542,0.67373,0.67279,0.67438,0.52354,0.57175,1.4928,0.94766,1.18224,0.000844253,0.000844253,0.000844253
126,920.67,0.35824,0.56763,0.40871,0.92636,0.72292,0.62425,0.69349,0.62835,0.68388,0.59484,0.65304,0.54181,0.58649,1.28445,0.94972,1.20061,0.000839537,0.000839537,0.000839537
127,927.903,0.34838,0.55697,0.41137,0.9203,0.83226,0.60485,0.69883,0.6348,0.83226,0.60485,0.66856,0.55128,0.59066,1.34173,0.96057,1.20074,0.000834822,0.000834822,0.000834822
